epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,1.0615906934452872,2.2977291536331177,0.1235
2,1.0586023605786836,2.2931266021728516,0.1718
3,1.0563146283483913,2.28830673456192,0.2254
4,1.0541888225791802,2.2835117840766905,0.2623
5,1.05170961883333,2.278650097846985,0.2891
6,1.0491770918552692,2.273745539188385,0.3059
7,1.0466524647851276,2.2687412977218626,0.3133
8,1.0439560948274074,2.2636562323570253,0.3215
9,1.0417750584773529,2.258485133647919,0.3257
10,1.0389110262577352,2.253199620246887,0.3302
11,1.036332124318832,2.247763223648071,0.3311
12,1.0334241818159056,2.2421202421188355,0.3368
13,1.030655735068851,2.236356191635132,0.3397
14,1.0278269801384363,2.230374574661255,0.3423
15,1.0250259826325963,2.224227292537689,0.3446
16,1.0218149133217642,2.217789969444275,0.3527
17,1.0180745405009668,2.211077542304993,0.3554
18,1.0150899983878827,2.204073181152344,0.3608
19,1.0112898568821769,2.1968043398857118,0.3649
20,1.0077046206873708,2.189224262237549,0.3678
21,1.0041060595430877,2.1813080072402955,0.3712
22,1.0002580183184044,2.173029935359955,0.3771
23,0.995987402068244,2.164321177005768,0.3807
24,0.9915746195703491,2.1551698660850525,0.3856
25,0.9872330085844055,2.1456123042106627,0.3909
26,0.9825738994484274,2.13550213098526,0.3974
27,0.9772883740245786,2.124934072494507,0.402
28,0.9716270033620361,2.1137288784980774,0.4066
29,0.9666710974823715,2.101986892223358,0.4117
30,0.9607189585510485,2.089675848484039,0.4167
31,0.9556342663927975,2.076671690940857,0.4262
32,0.9477991991572909,2.0629735660552977,0.4323
33,0.9419954765556204,2.048568823337555,0.44
34,0.935025983131849,2.0335223722457885,0.446
35,0.927489659979812,2.01760941028595,0.4539
36,0.9196758774610664,2.0009134006500244,0.4613
37,0.9124977723655538,1.9835024225711821,0.4682
38,0.903219012113718,1.965164989233017,0.4749
39,0.8947806898345296,1.9459687185287475,0.4827
40,0.8843149986022558,1.9259230387210846,0.4894
41,0.875128858619266,1.9050748181343078,0.4937
42,0.8656551544992331,1.883412734270096,0.5001
43,0.8535196136715066,1.860698744058609,0.5058
44,0.8447344277659034,1.837403380870819,0.5114
45,0.8332183345770224,1.8131848871707916,0.5179
46,0.8204639087884852,1.7883084332942962,0.5237
47,0.8102906004995362,1.7628423845767975,0.531
48,0.7970513026429037,1.7364994204044342,0.5371
49,0.7855219693265411,1.7096084940433502,0.5432
50,0.773554055354534,1.6821534109115601,0.5503
51,0.7601168226991962,1.6542328321933746,0.556
52,0.7472144719372448,1.6259564077854156,0.5618
53,0.735129241250519,1.597666584253311,0.57
54,0.7207721003100404,1.5693356001377106,0.5794
55,0.7085199200699472,1.540702644586563,0.5888
56,0.6948998478742746,1.512062578201294,0.5978
57,0.6818528689889825,1.4834204411506653,0.6071
58,0.6709672923271471,1.4547387051582337,0.6193
59,0.6588295125044309,1.4263676691055298,0.6314
60,0.6455944259452004,1.3982531011104584,0.6438
61,0.6333377638943175,1.3706007027626037,0.6552
62,0.6194958880416349,1.3433452546596527,0.6664
63,0.6083668129056947,1.316279913187027,0.6789
64,0.5950648793552676,1.2896940147876739,0.6895
65,0.5822964283900384,1.2636347490549087,0.6984
66,0.5713425702773608,1.238268511891365,0.7053
67,0.559727423084088,1.213516542315483,0.7131
68,0.5502608219782511,1.1889843678474425,0.7216
69,0.5397681875361336,1.165425369143486,0.7293
70,0.5316290110349656,1.1423167943954469,0.7362
71,0.5199485255612267,1.1198819071054458,0.7432
72,0.50965107875502,1.0978390818834305,0.7489
73,0.500089970918802,1.0767783105373383,0.7524
74,0.4920603767928914,1.056268265247345,0.7591
75,0.48293075143781483,1.0367369323968887,0.7641
76,0.4748642037057469,1.0178056508302689,0.7664
77,0.46439958879580867,0.9993666636943818,0.7697
78,0.4577672698049463,0.9818999260663986,0.7728
79,0.4497033651822653,0.9646406084299087,0.7773
80,0.44299776610146224,0.9478754478693009,0.7803
81,0.4347145628725362,0.9321817392110825,0.7838
82,0.42824222707850307,0.9163522565364838,0.7876
83,0.42059716696922594,0.9015820795297622,0.7897
84,0.4129089831541746,0.886956492960453,0.7928
85,0.4092256266337175,0.873048734664917,0.7943
86,0.4012448018432682,0.8593826121091843,0.7958
87,0.39464246640857475,0.8463276547193527,0.799
88,0.39131928840254104,0.8339515683054924,0.801
89,0.38470418662087535,0.8217412936687469,0.8031
90,0.3787097031744117,0.8098066639900208,0.8056
91,0.37518500899657226,0.7985689231753349,0.808
92,0.36837829254631305,0.787582805454731,0.8109
93,0.36481250364046824,0.7768883037567139,0.8125
94,0.3615838825447947,0.7665370556712151,0.8156
95,0.3541995852421492,0.7567710581421853,0.8166
96,0.35117223578640544,0.7470327177643776,0.8185
97,0.34586465422414303,0.7377286714315414,0.8201
98,0.34309225293815643,0.7287575617432595,0.8212
99,0.33877148899512416,0.7200806376338005,0.8221
100,0.33513457875730646,0.711666947901249,0.8234
101,0.33092663449864096,0.7034876918792725,0.8252
102,0.32632984724055,0.6956841361522674,0.8265
103,0.32215897968182194,0.6880992326140404,0.8282
104,0.3197679098090555,0.6803454077243805,0.83
105,0.31747913997397464,0.6729061302542686,0.8314
106,0.3130955348412196,0.6658236104249954,0.8331
107,0.3083501247386647,0.6589904052019119,0.8337
108,0.3079163663917118,0.6524236142635346,0.8345
109,0.30451117143926454,0.6458877691626549,0.8368
