epoch,train_loss(total),test_loss(average),test_accuracy(average),grad_norm_per_epoch
1,1.0308733803444896,2.301501030921936,0.153,0.0004136962816119194
2,1.0307408381125023,2.3013361430168153,0.156,0.0002058711543213576
3,1.0306822559956847,2.3011714887619017,0.1595,0.00020122200658079237
4,1.0305325178236797,2.3010064554214478,0.1628,0.00020902544201817364
5,1.0304759124229694,2.3008417797088625,0.1658,0.00020333704014774412
6,1.030338594111903,2.300677237510681,0.1689,0.00021606254449579865
7,1.030271263471965,2.300511906147003,0.1722,0.00020211470837239176
8,1.0301407714342248,2.300345821380615,0.1754,0.00021400078549049795
9,1.0301553026355545,2.3001816201210024,0.1796,0.00020140348351560533
10,1.0300208463751037,2.3000168895721433,0.1833,0.00019605971465352923
11,1.0299249414739937,2.299852213859558,0.187,0.0002007196453632787
12,1.0297887720938386,2.299686391353607,0.1898,0.00020428825519047678
13,1.0297491411710609,2.2995220112800596,0.1931,0.00020642814342863858
14,1.0296357715951985,2.29935772895813,0.1961,0.0002140224678441882
15,1.0295171968895813,2.2991922283172608,0.2002,0.0001988663716474548
16,1.0295514854891548,2.2990276837348937,0.2038,0.00020459752704482526
17,1.0293453109675441,2.298861572742462,0.2076,0.0002032807533396408
18,1.0293071228882362,2.2986954855918884,0.2108,0.0002107546606566757
19,1.0291804974449092,2.2985309290885927,0.2146,0.0002002100954996422
20,1.0291629793315098,2.2983660292625427,0.2172,0.00019774188695009798
21,1.0290154686261868,2.2982003593444826,0.2202,0.00020327093079686165
22,1.0289806656796356,2.2980350494384765,0.2239,0.00020491839677561074
23,1.0288841955620667,2.2978700184822083,0.2279,0.00019891883130185306
24,1.0287542589779557,2.297705903053284,0.2301,0.00020007822604384273
25,1.0287551710317875,2.2975414419174194,0.2326,0.00020959918037988245
26,1.028704580561868,2.297376935482025,0.2356,0.00019727549806702882
27,1.0285075234955754,2.2972116374969485,0.2381,0.00020337503519840539
28,1.028453405047285,2.2970464491844176,0.2413,0.00019857932056766003
29,1.0283741005535783,2.2968803024291993,0.2447,0.0002000999666051939
30,1.028296683882845,2.296714873313904,0.2472,0.00021171574189793319
31,1.028189714612632,2.2965502667427065,0.2494,0.00020135731028858572
32,1.0281216497051304,2.296384291648865,0.2514,0.00020642949675675482
33,1.028006918985268,2.2962187123298645,0.2543,0.00020417744235601276
34,1.0278183453041931,2.2960517311096194,0.257,0.0002045315777650103
35,1.0278561444118106,2.295885965824127,0.2597,0.00020336541638243943
36,1.0276672886363392,2.29572026014328,0.2617,0.00019340934522915632
37,1.0275358146634594,2.295553753376007,0.2633,0.00020218599820509553
38,1.0275277377202594,2.2953886222839355,0.265,0.00020993508223909885
39,1.0275004434174504,2.2952228736877442,0.2674,0.0002005257993005216
40,1.0273889801625549,2.2950568199157715,0.2698,0.0002007772563956678
41,1.0273090832192322,2.2948907804489136,0.2722,0.00020412685989867896
42,1.027171566568572,2.2947244024276734,0.2746,0.00020274783310014755
43,1.027056179683784,2.294558391571045,0.2767,0.0002002781693590805
44,1.0270504787050445,2.2943922662734986,0.2794,0.0001996971550397575
45,1.0269580365254962,2.294225823879242,0.2815,0.00019871126278303564
46,1.0268626238765388,2.294059910774231,0.2844,0.00020691630197688937
47,1.026800431054214,2.293893053531647,0.2855,0.0002054056676570326
48,1.0265831767485059,2.293725287914276,0.2891,0.00019994912145193666
49,1.0266237217804481,2.2935583925247194,0.2908,0.00020675946143455803
50,1.0264541892142132,2.2933913612365724,0.2931,0.00020728734671138227
51,1.0264134242616851,2.2932247138023376,0.2961,0.00021008553449064493
52,1.0263624674287335,2.293058166503906,0.2978,0.0002022518019657582
53,1.0262859134838498,2.2928914856910705,0.2991,0.0001985191338462755
54,1.0261160566889007,2.292723512649536,0.3012,0.00020562508143484592
55,1.0261357950753178,2.2925572347640992,0.3035,0.00020079012028872967
56,1.0259450216745507,2.2923900866508484,0.3051,0.000209932288271375
57,1.0258906771396767,2.2922227334976197,0.3076,0.00020392089209053665
58,1.0258356271118954,2.292055127620697,0.3088,0.0002052673662547022
59,1.0257004227103859,2.291888163089752,0.311,0.000207962715649046
60,1.0256103395388043,2.2917203235626222,0.3131,0.00021096346608828753
61,1.0253901877279938,2.2915518569946287,0.3151,0.000204643263714388
62,1.0254308982142086,2.2913840770721436,0.3173,0.00020872498862445354
63,1.025244354687888,2.2912149906158445,0.3188,0.0002055509976344183
64,1.0252517708416642,2.2910469245910643,0.3209,0.0002058141544694081
65,1.025130655231147,2.2908776211738586,0.3219,0.0002071787166642025
66,1.0250513867057602,2.2907089042663573,0.3233,0.00020919831877108663
67,1.0249201295704677,2.290539734363556,0.326,0.00020056124776601791
68,1.0248958324563915,2.290369460582733,0.3269,0.00021081071463413537
69,1.0248338158788353,2.2902000951766968,0.328,0.00020200511789880693
70,1.024674078000003,2.2900318813323977,0.3295,0.00020300125470384955
71,1.0246544428940476,2.289862596988678,0.3312,0.0002041656116489321
72,1.0245163995644142,2.2896936392784117,0.3332,0.0002069670445052907
73,1.024497258252111,2.289524359703064,0.335,0.00021276769984979182
74,1.0243368529040238,2.289354877471924,0.3366,0.0001967288990272209
75,1.0243111833416183,2.289185121059418,0.3384,0.00020875591144431382
76,1.0241275624982242,2.2890168190002442,0.34,0.0002048958995146677
77,1.0241859493584469,2.288846290111542,0.3424,0.00019570898439269513
78,1.0239651326475472,2.288675458431244,0.3441,0.00020657482673414052
79,1.023951491405224,2.2885059213638304,0.3459,0.00020485639106482267
80,1.023828365679445,2.2883362698554994,0.3476,0.00020650839724112302
81,1.0236279491720528,2.288165273666382,0.3495,0.00020607802434824407
82,1.0236580592804942,2.287994840145111,0.3512,0.00020909823069814593
83,1.0235679868994088,2.2878243112564087,0.3527,0.00020795401360373944
84,1.0234717957932373,2.2876531362533568,0.3546,0.00020330619008745998
85,1.023393388452201,2.2874818348884585,0.3561,0.00020078811212442815
86,1.0232455730438232,2.2873104572296143,0.3576,0.0002082309074467048
87,1.023301486825121,2.287137758731842,0.3584,0.00020524798310361803
88,1.0230768333221305,2.286966621875763,0.3603,0.00020831209258176386
89,1.0231068673832664,2.2867951798439026,0.3619,0.00020825437968596816
90,1.0229630788852428,2.2866233563423157,0.3634,0.0002000435342779383
91,1.0229097419771656,2.286451859474182,0.3656,0.0002039234241237864
92,1.022727754095505,2.286280024051666,0.3673,0.00019925848755519837
93,1.0225678862168872,2.2861073565483094,0.3679,0.00020626818877644837
94,1.0225215477162395,2.2859338474273683,0.3693,0.0002057039673672989
95,1.0224111152106319,2.285760877132416,0.3711,0.00020867990679107606
96,1.0223319874755268,2.2855879831314088,0.3725,0.0002129138447344303
97,1.0222922871852744,2.285415017604828,0.3736,0.00020190827490296215
98,1.0221441485758485,2.2852403783798216,0.375,0.000202452065423131
99,1.0220541568665669,2.285065472126007,0.3761,0.00021094329713378102
100,1.0219692423425872,2.2848923587799073,0.3773,0.0002184008772019297
101,1.0219058039887199,2.284717755317688,0.3788,0.00022198415535967797
102,1.021718922874023,2.2845432114601136,0.3798,0.00021226746321190149
103,1.021687857549766,2.2843686819076536,0.3806,0.0002067809837171808
104,1.0216207987275616,2.2841938996315,0.382,0.0002123279991792515
105,1.0215963875425274,2.284019446372986,0.3833,0.00020909844897687435
106,1.0213351213726505,2.283844449520111,0.3847,0.00021680534700863063
107,1.0213503385412281,2.283668336868286,0.3854,0.0002117324766004458
108,1.021299379139111,2.28349356174469,0.3863,0.00020740152103826404
109,1.0211306193779255,2.283318099975586,0.3873,0.00021725789702031761
110,1.020958043891808,2.28314266204834,0.388,0.0002040690160356462
111,1.021019420233266,2.2829652643203735,0.389,0.00020506100554484874
112,1.020886043536252,2.282788054943085,0.3901,0.0002083506842609495
113,1.0207221955060959,2.2826113057136537,0.3906,0.0002151880762539804
114,1.0207691798950065,2.2824347043037414,0.3919,0.0002068100293399766
115,1.0206555816633949,2.2822574186325073,0.3934,0.00021228328114375472
116,1.020463207158549,2.282079381942749,0.3942,0.0002011333854170516
117,1.0204263052036022,2.2819015479087827,0.3944,0.00021156440197955817
118,1.0203558838572995,2.281724264621735,0.3953,0.0002169252693420276
119,1.0201710555060157,2.281545135974884,0.3961,0.00021930372167844325
120,1.0201713540430726,2.2813656449317934,0.3968,0.00021632628340739757
121,1.0200685201020077,2.2811865496635435,0.3974,0.00021055774413980544
122,1.0200459890324494,2.2810064125061036,0.3975,0.00020822409715037793
123,1.019836702737315,2.2808277297019957,0.3981,0.0002075435477308929
